Date,Open,High,Low,Close,Adj Close,Volume
2022-08-09,59.000000,60.540001,57.740002,59.150002,58.662289,33107200
2022-08-10,60.000000,61.560001,59.389999,61.400002,60.893734,17418400
2022-08-11,62.000000,64.099998,62.000000,62.320000,61.806152,18298500
2022-08-12,62.660000,65.419998,62.230000,65.040001,64.503723,16194000
2022-08-15,64.699997,65.120003,63.889999,64.699997,64.166527,9689100
2022-08-16,64.120003,64.559998,63.220001,63.860001,63.333450,9275400
2022-08-17,62.810001,62.810001,60.759998,61.619999,61.111927,14728400
2022-08-18,61.750000,63.419998,61.250000,62.980000,62.460709,11303900
2022-08-19,61.840000,62.250000,60.279999,60.509998,60.011074,14050300
2022-08-22,59.560001,59.610001,57.970001,58.310001,57.829220,13096800
2022-08-23,58.349998,59.290001,57.759998,57.860001,57.382923,12769100
2022-08-24,57.880001,58.570000,57.360001,58.310001,57.829220,9961300
2022-08-25,58.599998,61.270000,58.580002,61.200001,60.695385,12171600
2022-08-26,61.070000,61.220001,57.610001,57.630001,57.154823,15754000
2022-08-29,57.310001,58.000000,56.520000,57.009998,56.539928,11607600
2022-08-30,57.480000,57.799999,55.580002,56.299999,55.835789,12743700
2022-08-31,55.990002,57.160000,55.810001,56.529999,56.063889,14172200
2022-09-01,55.259998,57.400002,54.790001,57.310001,56.837463,17594500
2022-09-02,58.299999,58.799999,56.000000,56.330002,55.865540,12809700
2022-09-06,56.330002,56.689999,55.130001,55.230000,54.774612,12133300
2022-09-07,55.310001,55.720001,54.009998,55.000000,54.546509,17030600
2022-09-08,54.490002,55.919998,53.740002,55.389999,54.933292,18415300
2022-09-09,56.169998,57.680000,56.169998,57.439999,56.966385,13925600
2022-09-12,57.459999,58.139999,57.029999,57.939999,57.462261,10711500
2022-09-13,55.700001,56.240002,53.139999,53.619999,53.177883,22361800
2022-09-14,53.889999,54.230000,52.459999,53.110001,52.672092,19984900
2022-09-15,52.700001,53.450001,51.980000,52.689999,52.255550,15620800
2022-09-16,51.889999,53.009998,51.490002,52.849998,52.414230,24901700
2022-09-19,51.970001,52.770000,51.880001,52.099998,51.670414,19251400
2022-09-20,51.529999,51.590000,50.590000,50.799999,50.381138,19373800
2022-09-21,49.740002,52.509998,49.720001,50.099998,49.686909,31117300
2022-09-22,49.799999,50.369999,49.349998,49.660000,49.250534,21317000
2022-09-23,49.279999,50.150002,48.450001,50.099998,49.686909,24591700
2022-09-26,49.930000,50.459999,48.810001,48.880001,48.476967,19266800
2022-09-27,49.820000,50.650002,49.400002,50.580002,50.162952,17297500
2022-09-28,50.110001,51.189999,50.099998,51.000000,50.579483,17784300
2022-09-29,50.040001,50.299999,49.220001,50.009998,49.597652,25582100
2022-09-30,50.540001,52.060001,49.810001,50.099998,49.686909,38917700
2022-10-03,51.009998,53.090000,50.639999,51.720001,51.293552,24632400
2022-10-04,53.560001,54.810001,52.660000,53.959999,53.515079,24275500
2022-10-05,52.880001,55.200001,52.169998,54.730000,54.278732,20418300
2022-10-06,54.400002,55.110001,53.299999,54.619999,54.169636,17149400
2022-10-07,53.560001,54.650002,52.509998,52.910000,52.584454,21977700
2022-10-10,53.070000,53.130001,50.770000,51.380001,51.063869,17227400
